question_id,answer_length,has_structure,top_doc_similarity,bertscore_f1
,171,True,0.5823033785179186,0.7091661095619202
,311,True,0.4687513514514724,0.6934382319450378
,267,True,0.5620827784021851,0.6978641748428345
,87,False,0.5063390049537503,0.6559492945671082
,109,True,0.573864302348864,0.6362476944923401
,182,True,0.6021137326474462,0.68244868516922
,122,True,0.5631919947516617,0.630835771560669
,245,True,0.6129196857471741,0.6710270047187805
,191,True,0.5431391330201446,0.6625171303749084
,268,True,0.556552748716993,0.670779287815094
,311,True,0.50979164274562,0.6681609749794006
,305,True,0.5856369018092183,0.7294712662696838
,256,True,0.4851593132238653,0.6491620540618896
,434,True,0.4392367532047804,0.6941149234771729
,389,True,0.5606442729632934,0.690934419631958
,127,True,0.5291583539783256,0.6498944759368896
,267,True,0.4724892274691717,0.7092126607894897
,229,True,0.4249085500955557,0.6811119318008423
,204,True,0.5238541361486386,0.6590927839279175
,266,True,0.508482381041322,0.6770634055137634
,317,True,0.6405352561655847,0.7732751369476318
,302,True,0.5761340021357648,0.6763874292373657
,196,True,0.4533070122031781,0.7102015018463135
,244,True,0.5715079375728426,0.6545839309692383
,300,True,0.6381490102225631,0.683300793170929
,408,True,0.6710663244776401,0.6848629117012024
,64,False,0.6434679898231073,0.6471070647239685
,279,True,0.4193434945608547,0.7757832407951355
,402,True,0.5593024289351427,0.7191978096961975
,383,True,0.5522549881361596,0.6844484806060791
,341,True,0.5969787009768206,0.7424482107162476
,254,True,0.4543315468290978,0.6557509899139404
,285,True,0.4917019893518475,0.6451939344406128
,263,True,0.5162946353804021,0.6562809944152832
,283,True,0.6038537512354654,0.6872594356536865
,269,True,0.591310236977427,0.6524018049240112
,250,True,0.6388705154141088,0.6946159601211548
,241,True,0.5593599160695357,0.6637475490570068
,287,True,0.5622439843189234,0.68526291847229
,73,False,0.5812934683365115,0.6394567489624023
,201,True,0.3801749400279637,0.6977403163909912
,270,True,0.5668149435972053,0.7399466633796692
,111,True,0.6057007746979906,0.6728354096412659
,289,True,0.5660333944515157,0.6846028566360474
,278,True,0.6761905733412092,0.6601289510726929
,209,True,0.5121754461342296,0.6852851510047913
,321,True,0.6591692275390815,0.6970630288124084
,257,True,0.5783653375767381,0.6501235961914062
,104,True,0.5651749024011578,0.6283552050590515
,225,True,0.6246756652655907,0.6712571382522583
,417,True,0.6328757199712247,0.7270874381065369
,139,True,0.5940144762812948,0.6613208055496216
,211,True,0.6376610904828812,0.6874716877937317
,393,True,0.476779048325928,0.7012891173362732
,122,True,0.6138133246799544,0.7146251201629639
,231,True,0.5417740502876691,0.6633908748626709
